Wavelength,Wavenumber,Intensity
251.83884117409121,20910.941185340504,0.0676971214017521
252.37671957185486,20826.313570815284,0.20905139360708835
252.91459796961848,20742.045914679766,0.351923436041083
253.45247636738213,20658.13592521623,0.5265425035262337
253.99035476514575,20574.581330119792,0.3248606392911775
254.5282331629094,20491.379876293206,0.3667024256511118
255.06611156067302,20408.529329644385,0.5307221328247613
255.60398995843667,20326.027474886425,0.7331183821046148
256.1418683562003,20243.872115340157,0.44783697876313644
256.67974675396397,20162.061072739176,0.24542841249975167
257.2176251517276,20080.59218703735,0.6278985636807914
257.7555035494912,19999.463316218666,0.8243198839819617
258.29338194725483,19918.67233610952,0.48148240856626345
258.8312603450185,19838.21714019333,0.413016071676898
259.3691387427821,19758.095639427484,0.7359602280628565
259.90701714054575,19678.30576206243,0.9357476607664343
260.4448955383094,19598.845453463204,0.6875135586149352
260.98277393607304,19519.712675933035,0.5364175457417009
261.52065233383667,19440.905408539133,0.7036774142281028
262.0585307316003,19362.42164694066,0.9536412579216087
262.59640912936396,19284.259403218835,0.6328770089596123
263.1342875271276,19206.416705709053,0.6284812364662176
263.6721659248912,19128.891598835107,0.687217355027117
264.2100443226549,19051.68214294542,0.9585068637384031
264.7479227204185,18974.786414151313,0.6511498500109265
265.2858011181821,18898.202504167137,0.6998535868248008
265.82367951594574,18821.928520152476,0.9209843653773571
266.3615579137094,18745.962584556153,1.1081421220970658
266.89943631147304,18670.302834962247,0.7530230248127621
267.43731470923666,18594.947423937774,0.8547116435226574
267.97519310700034,18519.894518882407,0.9729169398255757
268.51307150476396,18445.14230187991,1.136316427280132
269.0509499025276,18370.688969551295,0.8796632695631443
269.5888283002912,18296.532732909873,0.8621729542880983
270.1267066980549,18222.67181721791,1.0906045254981427
270.6645850958185,18149.104461845083,1.2383060174424378
271.2024634935821,18075.828920128566,0.9593609074835607
271.7403418913458,18002.843459234784,0.9813797008164966
272.2782202891094,17930.146360022845,1.239796769771739
272.81609868687303,17857.735916909536,1.2075167371913307
273.35397708463665,17785.610437735944,0.9984377297018101
273.89185548240033,17713.76824363562,1.0087245962214673
274.42973388016395,17642.207668904375,1.1340820867354031
274.96761227792757,17570.927060871472,1.2340681804636744
275.5054906756912,17499.924779772417,0.9757711027673479
276.04336907345487,17429.199198623253,0.9862083556826986
276.5812474712185,17358.74870309625,1.1038953453721914
277.1191258689821,17288.571691397097,1.1617724536623162
277.6570042667458,17218.666574143477,0.9226388143910049
278.1948826645094,17149.031774245115,1.0907358404354652
278.732761062273,17079.665726785155,1.1323289031924828
279.27063946003665,17010.566878902908,1.3373355583368096
279.8085178578003,16941.733689678018,1.1583699862923895
280.34639625556395,16873.164630015905,1.1046480719947556
280.88427465332757,16804.858182534503,1.2126545086119558
281.42215305109124,16736.81284145236,1.182104614895604
281.96003144885486,16669.027112478005,0.9100055625086918
282.4979098466185,16601.499512700502,0.9502360092973361
283.0357882443821,16534.22857048139,1.2979567713610272
283.5736666421458,16467.212825347706,1.3945562906013471
284.1115450399094,16400.45082788635,1.0174682639013053
284.649423437673,16333.941139639559,0.9805415499533148
285.18730183543664,16267.68233300159,1.1175272662256392
285.7251802332003,16201.672991116582,1.1857488527325821
286.26305863096394,16135.911707777595,1.0649794385839444
286.80093702872756,16070.397087326695,1.0413588414089041
287.33881542649124,16005.12774455626,1.218115501519757
287.87669382425486,15940.102304611348,1.3753588811411088
288.4145722220185,15875.319402893147,1.1552154478812802
288.9524506197821,15810.777684963512,1.1826557005781035
289.4903290175458,15746.475806450595,1.4016061743846477
290.0282074153094,15682.41243295549,1.2479275681903967
290.566085813073,15618.586239959928,0.9708766911019728
291.1039642108367,15554.995912734972,0.8490676838111131
291.6418426086003,15491.6401462508,1.14289131255339
292.17972100636393,15428.517645087348,1.1327051671732522
292.71759940412755,15365.627123346101,0.9197121401752189
293.25547780189123,15302.967304562706,1.1182923098317343
293.79335619965485,15240.53692162066,1.4772497367741422
294.3312345974185,15178.334716665879,1.4299507320658762
294.86911299518215,15116.359441022192,0.9703736813874484
295.40699139294577,15054.609855107832,1.1168587718775456
295.9448697907094,14993.084728352762,1.2894218964181423
296.482748188473,14931.782839116931,1.3658225559727435
297.0206265862367,14870.70297460942,1.0719667441444662
297.5585049840003,14809.84393080847,0.8576504360609494
298.0963833817639,14749.204512382363,1.1814134731906947
298.6342617795276,14688.783532611138,1.3369886961876944
299.1721401772912,14628.57981330924,1.0569112183880645
299.71001857505485,14568.592184748864,1.0187569779684926
300.24789697281847,14508.81948558423,1.2465218427796652
300.78577537058214,14449.260562776653,1.25250233426704
301.32365376834576,14389.914271520385,1.0775211077338738
301.8615321661094,14330.779475169249,1.0483151558495738
302.39941056387306,14271.855045164084,1.095581381488766
302.9372889616367,14213.139860960975,1.1396318811212431
303.4751673594003,14154.632809960196,1.0903228241651273
304.0130457571639,14096.33278743591,1.2230848083914418
304.5509241549276,14038.238696466695,1.3323424121421619
305.0888025526912,13980.349447866713,1.3566322983093948
305.62668095045484,13922.66396011764,1.0410501221765305
306.1645593482185,13865.1811593013,1.1659057949420903
306.70243774598214,13807.899979033078,1.3919697240598365
307.24031614374576,13750.8193603959,1.3393152154478813
307.7781945415094,13693.938251875035,1.0499954307964323
308.31607293927306,13637.255609293505,1.0447829628305225
308.8539513370367,13580.770395748197,1.2576705008244433
309.3918297348003,13524.481581546632,1.1087273774758133
309.929708132564,13468.388144144377,1.0892371416651767
310.4675865303276,13412.489068083181,1.048670361761726
311.0054649280912,13356.783344929627,1.3380604724159166
